tweet_id,retweet_count,favorite_count
842115215311396866,3031,14009
841833993020538882,15132,0
841680585030541313,7796,25787
841439858740625411,3691,12690
841320156043304961,5496,19849
841314665196081154,4663,15876
841077006473256960,5313,22955
840761248237133825,1770,0
840728873075638272,16186,0
840698636975636481,2,177
840696689258311684,976,12340
840632337062862849,1770,9038
840370681858686976,4550,16536
840268004936019968,5751,19354
839990271299457024,2280,13483
839549326359670784,7785,27619
839290600511926273,145,0
839239871831150596,6555,27289
838952994649550848,4018,19769
838921590096166913,2073,11215
838916489579200512,35,0
838831947270979586,11059,0
838561493054533637,1342,10999
838476387338051585,4795,22665
838201503651401729,10123,0
838150277551247360,333,1685
838085839343206401,1,142
838083903487373313,3153,17755
837820167694528512,7906,34384
837482249356513284,444,3864
837471256429613056,2288,12893
837110210464448512,2374,16166
836989968035819520,2301,12853
836753516572119041,4668,19464
836677758902222849,2240,12692
836648853927522308,557,0
836397794269200385,27724,0
836380477523124226,3007,14874
836260088725786625,4325,21484
836001077879255040,4294,19253
835685285446955009,8194,0
835574547218894849,3646,17956
835536468978302976,1716,0
835309094223372289,21160,0
835297930240217089,3042,16620
835264098648616962,1716,7803
835246439529840640,73,2123
835172783151792128,5816,26414
835152434251116546,3045,22633
834931633769889797,1663,10909
834786237630337024,5551,21532
834574053763584002,2559,13797
834477809192075265,10761,0
834458053273591808,1699,9717
834209720923721728,4811,20810
834167344700198914,3693,15976
834089966724603904,2155,10143
834086379323871233,2225,13197
833863086058651648,2431,13542
833826103416520705,3805,18209
833732339549220864,223,0
833722901757046785,3261,21009
833479644947025920,2074,15007
833124694597443584,4892,20396
832998151111966721,2227,13408
832769181346996225,39,0
832757312314028032,3664,17034
832682457690300417,2951,12005
832645525019123713,535,2964
832636094638288896,2818,16035
832397543355072512,2244,12093
832369877331693569,3224,17371
832273440279240704,2363,11474
832215909146226688,6279,0
832215726631055365,9455,0
832088576586297345,2,64
832040443403784192,9742,0
832032802820481025,4725,18084
831939777352105988,6219,24283
831926988323639298,34,343
831911600680497154,6587,27963
831670449226514432,1848,10577
831650051525054464,1957,7238
831552930092285952,2338,9096
831322785565769729,1572,9373
831315979191906304,1139,6630
831309418084069378,2488,11894
831262627380748289,2078,12055
830956169170665475,1515,8086
830583320585068544,17019,67795
830173239259324417,5770,0
830097400375152640,2992,9959
829878982036299777,5105,0
829861396166877184,1978,12392
829501995190984704,10761,32200
829449946868879360,2059,10607
829141528400556032,7466,24776
829011960981237760,16535,53841
828801551087042563,3466,0
828770345708580865,5956,25944
828708714936930305,11358,37057
828650029636317184,1373,9649
828409743546925057,1182,6436
828408677031882754,1310,7776
828381636999917570,2248,12779
828376505180889089,1087,7483
828372645993398273,2989,12742
828361771580813312,173,2228
828046555563323392,2920,11951
828011680017821696,2177,10510
827933404142436356,5329,20410
827653905312006145,3064,15711
827600520311402496,958,7538
827324948884643840,3106,16099
827199976799354881,2263,10739
826958653328592898,5105,21922
826848821049180160,10346,36947
826615380357632002,4050,0
826598799820865537,257,5197
826598365270007810,2389,10204
826476773533745153,4276,18703
826240494070030336,2647,13507
826204788643753985,941,4956
826115272272650244,3194,15902
825876512159186944,1907,10631
825829644528148480,2530,12933
825535076884762624,17815,57695
825147591692263424,4624,18622
825120256414846976,1285,0
825026590719483904,1285,6420
824796380199809024,5594,0
824775126675836928,3593,15183
824663926340194305,1773,10263
824325613288833024,10703,12012
824297048279236611,3940,15323
824025158776213504,608,4908
823939628516474880,2757,10813
823719002937630720,11424,0
823699002998870016,2568,14216
823581115634085888,2679,13262
823333489516937216,25,712
823322678127919110,4112,16013
823269594223824897,10095,0
822975315408461824,3523,17631
822872901745569793,44193,134203
822859134160621569,2332,13525
822647212903690241,6542,0
822610361945911296,3015,15099
822489057087389700,6542,18500
822462944365645825,14650,28634
822244816520155136,10095,35626
822163064745328640,4889,0
821886076407029760,2359,11548
821813639212650496,3422,0
821765923262631936,1688,8582
821522889702862852,1805,8181
821421320206483457,5720,0
821407182352777218,4449,12013
821153421864615936,10,261
821149554670182400,2036,8835
